,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
66,2024-03-04 09:15:04,1.0,E4,route_E4_A16,3,2024-03-04 09:15:01
476,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
67,2024-03-04 09:15:07,1.0,E4,route_E4_A7,3,2024-03-04 09:15:04
380,2024-03-04 09:15:23,1.0,E22,route_E22_A1,0,2024-03-04 09:15:23
46,2024-03-04 09:15:27,1.0,E7,route_E7_A18,2,2024-03-04 09:15:25
423,2024-03-04 09:15:28,1.0,E12,route_E12_A18,3,2024-03-04 09:15:25
355,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
379,2024-03-04 09:15:27,1.0,E22,route_E22_A1,0,2024-03-04 09:15:27
492,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
47,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
378,2024-03-04 09:15:29,1.0,E22,route_E22_A2,0,2024-03-04 09:15:29
480,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
481,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
377,2024-03-04 09:15:34,1.0,E22,route_E22_A2,0,2024-03-04 09:15:34
482,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
483,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
376,2024-03-04 09:15:41,1.0,E22,route_E22_A2,0,2024-03-04 09:15:41
375,2024-03-04 09:15:47,1.0,E22,route_E22_A7,0,2024-03-04 09:15:47
68,2024-03-04 09:15:51,1.0,E4,route_E4_A18,3,2024-03-04 09:15:48
70,2024-03-04 09:15:53,1.0,E4,route_E4_A7,3,2024-03-04 09:15:50
81,2024-03-04 09:15:56,1.0,E4,route_E4_A7,3,2024-03-04 09:15:53
374,2024-03-04 09:15:54,1.0,E22,route_E22_A1,0,2024-03-04 09:15:54
71,2024-03-04 09:15:59,1.0,E4,route_E4_A16,3,2024-03-04 09:15:56
373,2024-03-04 09:15:57,1.0,E22,route_E22_A7,0,2024-03-04 09:15:57
72,2024-03-04 09:16:03,1.0,E4,route_E4_A7,3,2024-03-04 09:16:00
342,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
73,2024-03-04 09:16:05,1.0,E4,route_E4_A7,3,2024-03-04 09:16:02
372,2024-03-04 09:16:02,1.0,E22,route_E22_A2,0,2024-03-04 09:16:02
371,2024-03-04 09:16:04,1.0,E22,route_E22_A1,0,2024-03-04 09:16:04
74,2024-03-04 09:16:08,1.0,E4,route_E4_A7,3,2024-03-04 09:16:05
370,2024-03-04 09:16:09,1.0,E22,route_E22_A2,0,2024-03-04 09:16:09
75,2024-03-04 09:16:14,1.0,E4,route_E4_A7,3,2024-03-04 09:16:11
369,2024-03-04 09:16:12,1.0,E22,route_E22_A2,0,2024-03-04 09:16:12
64,2024-03-04 09:16:21,1.0,E24,route_E24_A1,9,2024-03-04 09:16:12
76,2024-03-04 09:16:16,1.0,E4,route_E4_A7,3,2024-03-04 09:16:13
368,2024-03-04 09:16:14,1.0,E22,route_E22_A1,0,2024-03-04 09:16:14
168,2024-03-04 09:16:18,1.0,E3,route_E3_A1,3,2024-03-04 09:16:15
443,2024-03-04 09:16:17,1.0,E11,route_E11_A7,2,2024-03-04 09:16:15
63,2024-03-04 09:16:24,1.0,E24,route_E24_A6,9,2024-03-04 09:16:15
169,2024-03-04 09:16:19,1.0,E3,route_E3_A1,3,2024-03-04 09:16:16
367,2024-03-04 09:16:17,1.0,E22,route_E22_A1,0,2024-03-04 09:16:17
366,2024-03-04 09:16:18,1.0,E22,route_E22_A1,0,2024-03-04 09:16:18
170,2024-03-04 09:16:21,1.0,E3,route_E3_A1,3,2024-03-04 09:16:18
62,2024-03-04 09:16:27,1.0,E24,route_E24_A6,9,2024-03-04 09:16:18
