,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
233,2024-03-04 09:15:04,1.0,E4,route_E4_A15,3,2024-03-04 09:15:01
159,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
234,2024-03-04 09:15:07,1.0,E4,route_E4_A16,3,2024-03-04 09:15:04
302,2024-03-04 09:15:23,1.0,E22,route_E22_A2,0,2024-03-04 09:15:23
446,2024-03-04 09:15:27,1.0,E7,route_E7_A16,2,2024-03-04 09:15:25
197,2024-03-04 09:15:28,1.0,E12,route_E12_A8,3,2024-03-04 09:15:25
298,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
309,2024-03-04 09:15:27,1.0,E22,route_E22_A2,0,2024-03-04 09:15:27
439,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
187,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
303,2024-03-04 09:15:29,1.0,E22,route_E22_A2,0,2024-03-04 09:15:29
188,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
189,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
304,2024-03-04 09:15:34,1.0,E22,route_E22_A1,0,2024-03-04 09:15:34
190,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
185,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
305,2024-03-04 09:15:41,1.0,E22,route_E22_A7,0,2024-03-04 09:15:41
306,2024-03-04 09:15:47,1.0,E22,route_E22_A7,0,2024-03-04 09:15:47
235,2024-03-04 09:15:51,1.0,E4,route_E4_A7,3,2024-03-04 09:15:48
236,2024-03-04 09:15:53,1.0,E4,route_E4_A18,3,2024-03-04 09:15:50
237,2024-03-04 09:15:56,1.0,E4,route_E4_A7,3,2024-03-04 09:15:53
307,2024-03-04 09:15:54,1.0,E22,route_E22_A2,0,2024-03-04 09:15:54
254,2024-03-04 09:15:59,1.0,E4,route_E4_A16,3,2024-03-04 09:15:56
308,2024-03-04 09:15:57,1.0,E22,route_E22_A2,0,2024-03-04 09:15:57
238,2024-03-04 09:16:03,1.0,E4,route_E4_A18,3,2024-03-04 09:16:00
294,2024-03-04 09:16:02,1.0,E22,route_E22_A2,0,2024-03-04 09:16:02
257,2024-03-04 09:16:05,1.0,E4,route_E4_A16,3,2024-03-04 09:16:02
297,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
301,2024-03-04 09:16:04,1.0,E22,route_E22_A2,0,2024-03-04 09:16:04
258,2024-03-04 09:16:08,1.0,E4,route_E4_A16,3,2024-03-04 09:16:05
293,2024-03-04 09:16:09,1.0,E22,route_E22_A2,0,2024-03-04 09:16:09
259,2024-03-04 09:16:14,1.0,E4,route_E4_A7,3,2024-03-04 09:16:11
