,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
68,2024-03-04 09:15:04,1.0,E4,route_E4_A15,3,2024-03-04 09:15:01
473,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
69,2024-03-04 09:15:07,1.0,E4,route_E4_A7,3,2024-03-04 09:15:04
381,2024-03-04 09:15:23,1.0,E22,route_E22_A7,0,2024-03-04 09:15:23
425,2024-03-04 09:15:28,1.0,E12,route_E12_A18,3,2024-03-04 09:15:25
46,2024-03-04 09:15:27,1.0,E7,route_E7_A16,2,2024-03-04 09:15:25
356,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
380,2024-03-04 09:15:27,1.0,E22,route_E22_A1,0,2024-03-04 09:15:27
489,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
47,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
379,2024-03-04 09:15:29,1.0,E22,route_E22_A1,0,2024-03-04 09:15:29
477,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
478,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
378,2024-03-04 09:15:34,1.0,E22,route_E22_A2,0,2024-03-04 09:15:34
479,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
480,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
377,2024-03-04 09:15:41,1.0,E22,route_E22_A2,0,2024-03-04 09:15:41
376,2024-03-04 09:15:47,1.0,E22,route_E22_A2,0,2024-03-04 09:15:47
70,2024-03-04 09:15:51,1.0,E4,route_E4_A7,3,2024-03-04 09:15:48
72,2024-03-04 09:15:53,1.0,E4,route_E4_A7,3,2024-03-04 09:15:50
83,2024-03-04 09:15:56,1.0,E4,route_E4_A16,3,2024-03-04 09:15:53
375,2024-03-04 09:15:54,1.0,E22,route_E22_A1,0,2024-03-04 09:15:54
73,2024-03-04 09:15:59,1.0,E4,route_E4_A7,3,2024-03-04 09:15:56
374,2024-03-04 09:15:57,1.0,E22,route_E22_A2,0,2024-03-04 09:15:57
74,2024-03-04 09:16:03,1.0,E4,route_E4_A7,3,2024-03-04 09:16:00
373,2024-03-04 09:16:02,1.0,E22,route_E22_A1,0,2024-03-04 09:16:02
75,2024-03-04 09:16:05,1.0,E4,route_E4_A7,3,2024-03-04 09:16:02
343,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
372,2024-03-04 09:16:04,1.0,E22,route_E22_A1,0,2024-03-04 09:16:04
