,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
0,2024-03-04 09:15:00,1.0,?,-758088377#1_to_-25973410#1,0,2024-03-04 09:15:00
1,2024-03-04 09:15:17,1.0,?,-758088377#1_to_-E0,0,2024-03-04 09:15:17
2,2024-03-04 09:15:24,1.0,?,-758088377#1_to_183419042#9,0,2024-03-04 09:15:24
3,2024-03-04 09:15:30,1.0,?,-758088377#1_to_38361907,0,2024-03-04 09:15:30
4,2024-03-04 09:15:31,1.0,?,-758088377#1_to_-283020993#1,0,2024-03-04 09:15:31
5,2024-03-04 09:15:32,1.0,?,-758088377#1_to_-E4,0,2024-03-04 09:15:32
6,2024-03-04 09:15:32,1.0,?,-758088377#1_to_-981104557#1,0,2024-03-04 09:15:32
7,2024-03-04 09:15:44,1.0,?,-758088377#1_to_282513344#3,0,2024-03-04 09:15:44
8,2024-03-04 09:15:49,1.0,?,-758088377#1_to_183419042#9,0,2024-03-04 09:15:49
9,2024-03-04 09:15:56,1.0,?,-758088377#1_to_-183419769#0,0,2024-03-04 09:15:56
10,2024-03-04 09:15:56,1.0,?,-758088377#1_to_22889927#0,0,2024-03-04 09:15:56
11,2024-03-04 09:16:16,1.0,?,-758088377#1_to_281956705#0,0,2024-03-04 09:16:16
12,2024-03-04 09:16:27,1.0,?,-758088377#1_to_25973410#5,0,2024-03-04 09:16:27
13,2024-03-04 09:16:28,1.0,?,-758088377#1_to_60430429#1,0,2024-03-04 09:16:28
14,2024-03-04 09:16:29,1.0,?,-758088377#1_to_-25708882#3,0,2024-03-04 09:16:29
15,2024-03-04 09:16:30,1.0,?,-758088377#1_to_23320456#2,0,2024-03-04 09:16:30
16,2024-03-04 09:16:33,1.0,?,-758088377#1_to_23999291#1,0,2024-03-04 09:16:33
17,2024-03-04 09:16:37,1.0,?,-758088377#1_to_-981104557#1,0,2024-03-04 09:16:37
18,2024-03-04 09:16:40,1.0,?,-758088377#1_to_-23320505,0,2024-03-04 09:16:40
19,2024-03-04 09:16:42,1.0,?,-758088377#1_to_-331752492#0,0,2024-03-04 09:16:42
20,2024-03-04 09:16:48,1.0,?,-758088377#1_to_-283020993#1,0,2024-03-04 09:16:48
21,2024-03-04 09:16:48,1.0,?,-758088377#1_to_23999291#1,0,2024-03-04 09:16:48
22,2024-03-04 09:16:50,1.0,?,-758088377#1_to_1302089903#1,0,2024-03-04 09:16:50
23,2024-03-04 09:16:53,1.0,?,-758088377#1_to_23320456#2,0,2024-03-04 09:16:53
24,2024-03-04 09:16:57,1.0,?,-758088377#1_to_-25708882#3,0,2024-03-04 09:16:57
25,2024-03-04 09:17:05,1.0,?,-758088377#1_to_-23320502,0,2024-03-04 09:17:05
26,2024-03-04 09:17:07,1.0,?,-758088377#1_to_25973410#5,0,2024-03-04 09:17:07
27,2024-03-04 09:17:11,1.0,?,-758088377#1_to_25973410#5,0,2024-03-04 09:17:11
28,2024-03-04 09:17:16,1.0,?,-758088377#1_to_758088375#0,0,2024-03-04 09:17:16
29,2024-03-04 09:17:16,1.0,?,-758088377#1_to_23320456#2,0,2024-03-04 09:17:16
30,2024-03-04 09:17:22,1.0,?,-758088377#1_to_23320456#2,0,2024-03-04 09:17:22
31,2024-03-04 09:17:23,1.0,?,-758088377#1_to_35822597,0,2024-03-04 09:17:23
32,2024-03-04 09:17:23,1.0,?,-758088377#1_to_-981104557#1,0,2024-03-04 09:17:23
33,2024-03-04 09:17:40,1.0,?,-758088377#1_to_1302089903#1,0,2024-03-04 09:17:40
34,2024-03-04 09:18:00,1.0,?,-758088377#1_to_281956705#0,0,2024-03-04 09:18:00
35,2024-03-04 09:18:09,1.0,?,-758088377#1_to_23320456#2,0,2024-03-04 09:18:09
36,2024-03-04 09:18:12,1.0,?,-758088377#1_to_-23320502,0,2024-03-04 09:18:12
