,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
79,2024-03-04 09:15:02,1.0,E6,route_E6_A2,2,2024-03-04 09:15:00
38,2024-03-04 09:15:05,1.0,E13,route_E13_A2,4,2024-03-04 09:15:01
39,2024-03-04 09:15:05,1.0,E13,route_E13_A6,4,2024-03-04 09:15:01
37,2024-03-04 09:15:06,1.0,E13,route_E13_A2,4,2024-03-04 09:15:02
325,2024-03-04 09:15:04,1.0,E21,route_E21_A17,0,2024-03-04 09:15:04
322,2024-03-04 09:15:05,1.0,E22,route_E22_A7,0,2024-03-04 09:15:05
144,2024-03-04 09:15:22,1.0,E1,route_E1_A16,2,2024-03-04 09:15:20
491,2024-03-04 09:15:24,1.0,E4,route_E4_A7,3,2024-03-04 09:15:21
78,2024-03-04 09:15:25,1.0,E6,route_E6_A2,2,2024-03-04 09:15:23
545,2024-03-04 09:15:26,1.0,E12,route_E12_A8,3,2024-03-04 09:15:23
387,2024-03-04 09:15:26,1.0,E2,route_E2_A3,0,2024-03-04 09:15:26
49,2024-03-04 09:15:29,1.0,E7,route_E7_A18,2,2024-03-04 09:15:27
36,2024-03-04 09:15:34,1.0,E13,route_E13_A6,4,2024-03-04 09:15:30
81,2024-03-04 09:15:40,1.0,E20,route_E20_A2,4,2024-03-04 09:15:36
490,2024-03-04 09:15:45,1.0,E4,route_E4_A16,3,2024-03-04 09:15:42
321,2024-03-04 09:15:43,1.0,E22,route_E22_A1,0,2024-03-04 09:15:43
489,2024-03-04 09:15:48,1.0,E4,route_E4_A7,3,2024-03-04 09:15:45
546,2024-03-04 09:15:49,1.0,E12,route_E12_A8,3,2024-03-04 09:15:46
488,2024-03-04 09:15:50,1.0,E4,route_E4_A7,3,2024-03-04 09:15:47
359,2024-03-04 09:15:50,1.0,E11,route_E11_A18,2,2024-03-04 09:15:48
487,2024-03-04 09:15:52,1.0,E4,route_E4_A7,3,2024-03-04 09:15:49
320,2024-03-04 09:15:50,1.0,E22,route_E22_A2,0,2024-03-04 09:15:50
486,2024-03-04 09:15:54,1.0,E4,route_E4_A7,3,2024-03-04 09:15:51
370,2024-03-04 09:15:54,1.0,E11,route_E11_A16,2,2024-03-04 09:15:52
485,2024-03-04 09:15:56,1.0,E4,route_E4_A7,3,2024-03-04 09:15:53
82,2024-03-04 09:15:58,1.0,E20,route_E20_A2,4,2024-03-04 09:15:54
135,2024-03-04 09:15:58,1.0,E3,route_E3_A1,3,2024-03-04 09:15:55
398,2024-03-04 09:15:56,1.0,E10,route_E10_A5,1,2024-03-04 09:15:55
319,2024-03-04 09:15:56,1.0,E22,route_E22_A7,0,2024-03-04 09:15:56
484,2024-03-04 09:16:00,1.0,E4,route_E4_A7,3,2024-03-04 09:15:57
483,2024-03-04 09:16:03,1.0,E4,route_E4_A7,3,2024-03-04 09:16:00
482,2024-03-04 09:16:04,1.0,E4,route_E4_A7,3,2024-03-04 09:16:01
51,2024-03-04 09:16:07,1.0,E5,route_E5_A3,4,2024-03-04 09:16:03
399,2024-03-04 09:16:05,1.0,E10,route_E10_A5,1,2024-03-04 09:16:04
481,2024-03-04 09:16:07,1.0,E4,route_E4_A7,3,2024-03-04 09:16:04
480,2024-03-04 09:16:11,1.0,E4,route_E4_A7,3,2024-03-04 09:16:08
479,2024-03-04 09:16:14,1.0,E4,route_E4_A15,3,2024-03-04 09:16:11
318,2024-03-04 09:16:13,1.0,E22,route_E22_A1,0,2024-03-04 09:16:13
504,2024-03-04 09:16:17,1.0,E4,route_E4_A18,3,2024-03-04 09:16:14
