,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
68,2024-03-04 09:15:04,1.0,E4,route_E4_A7,3,2024-03-04 09:15:01
474,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
69,2024-03-04 09:15:07,1.0,E4,route_E4_A16,3,2024-03-04 09:15:04
383,2024-03-04 09:15:23,1.0,E22,route_E22_A7,0,2024-03-04 09:15:23
48,2024-03-04 09:15:27,1.0,E7,route_E7_A16,2,2024-03-04 09:15:25
426,2024-03-04 09:15:28,1.0,E12,route_E12_A18,3,2024-03-04 09:15:25
358,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
382,2024-03-04 09:15:27,1.0,E22,route_E22_A1,0,2024-03-04 09:15:27
49,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
491,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
381,2024-03-04 09:15:29,1.0,E22,route_E22_A1,0,2024-03-04 09:15:29
479,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
480,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
380,2024-03-04 09:15:34,1.0,E22,route_E22_A1,0,2024-03-04 09:15:34
481,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
482,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
379,2024-03-04 09:15:41,1.0,E22,route_E22_A1,0,2024-03-04 09:15:41
378,2024-03-04 09:15:47,1.0,E22,route_E22_A2,0,2024-03-04 09:15:47
70,2024-03-04 09:15:51,1.0,E4,route_E4_A7,3,2024-03-04 09:15:48
72,2024-03-04 09:15:53,1.0,E4,route_E4_A16,3,2024-03-04 09:15:50
83,2024-03-04 09:15:56,1.0,E4,route_E4_A15,3,2024-03-04 09:15:53
377,2024-03-04 09:15:54,1.0,E22,route_E22_A7,0,2024-03-04 09:15:54
73,2024-03-04 09:15:59,1.0,E4,route_E4_A7,3,2024-03-04 09:15:56
376,2024-03-04 09:15:57,1.0,E22,route_E22_A7,0,2024-03-04 09:15:57
74,2024-03-04 09:16:03,1.0,E4,route_E4_A16,3,2024-03-04 09:16:00
75,2024-03-04 09:16:05,1.0,E4,route_E4_A16,3,2024-03-04 09:16:02
345,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
375,2024-03-04 09:16:02,1.0,E22,route_E22_A7,0,2024-03-04 09:16:02
374,2024-03-04 09:16:04,1.0,E22,route_E22_A7,0,2024-03-04 09:16:04
76,2024-03-04 09:16:08,1.0,E4,route_E4_A16,3,2024-03-04 09:16:05
373,2024-03-04 09:16:09,1.0,E22,route_E22_A1,0,2024-03-04 09:16:09
77,2024-03-04 09:16:14,1.0,E4,route_E4_A7,3,2024-03-04 09:16:11
372,2024-03-04 09:16:12,1.0,E22,route_E22_A2,0,2024-03-04 09:16:12
66,2024-03-04 09:16:21,1.0,E24,route_E24_A6,9,2024-03-04 09:16:12
78,2024-03-04 09:16:16,1.0,E4,route_E4_A7,3,2024-03-04 09:16:13
371,2024-03-04 09:16:14,1.0,E22,route_E22_A2,0,2024-03-04 09:16:14
170,2024-03-04 09:16:18,1.0,E3,route_E3_A1,3,2024-03-04 09:16:15
441,2024-03-04 09:16:17,1.0,E11,route_E11_A18,2,2024-03-04 09:16:15
65,2024-03-04 09:16:24,1.0,E24,route_E24_A2,9,2024-03-04 09:16:15
171,2024-03-04 09:16:19,1.0,E3,route_E3_A1,3,2024-03-04 09:16:16
370,2024-03-04 09:16:17,1.0,E22,route_E22_A1,0,2024-03-04 09:16:17
64,2024-03-04 09:16:27,1.0,E24,route_E24_A2,9,2024-03-04 09:16:18
369,2024-03-04 09:16:18,1.0,E22,route_E22_A7,0,2024-03-04 09:16:18
172,2024-03-04 09:16:21,1.0,E3,route_E3_A1,3,2024-03-04 09:16:18
173,2024-03-04 09:16:23,1.0,E3,route_E3_A1,3,2024-03-04 09:16:20
25,2024-03-04 09:16:29,1.0,E18,route_E18_A5,9,2024-03-04 09:16:20
368,2024-03-04 09:16:21,1.0,E22,route_E22_A7,0,2024-03-04 09:16:21
174,2024-03-04 09:16:25,1.0,E3,route_E3_A1,3,2024-03-04 09:16:22
63,2024-03-04 09:16:32,1.0,E24,route_E24_A2,9,2024-03-04 09:16:23
175,2024-03-04 09:16:27,1.0,E3,route_E3_A1,3,2024-03-04 09:16:24
463,2024-03-04 09:16:30,1.0,E9,route_E9_A2,3,2024-03-04 09:16:27
79,2024-03-04 09:16:30,1.0,E4,route_E4_A7,3,2024-03-04 09:16:27
475,2024-03-04 09:16:29,1.0,E10,route_E10_A5,1,2024-03-04 09:16:28
177,2024-03-04 09:16:33,1.0,E3,route_E3_A1,3,2024-03-04 09:16:30
80,2024-03-04 09:16:36,1.0,E4,route_E4_A7,3,2024-03-04 09:16:33
81,2024-03-04 09:16:39,1.0,E4,route_E4_A7,3,2024-03-04 09:16:36
82,2024-03-04 09:16:41,1.0,E4,route_E4_A18,3,2024-03-04 09:16:38
407,2024-03-04 09:16:45,1.0,E13,route_E13_A2,4,2024-03-04 09:16:41
427,2024-03-04 09:16:46,1.0,E12,route_E12_A8,3,2024-03-04 09:16:43
408,2024-03-04 09:16:47,1.0,E13,route_E13_A2,4,2024-03-04 09:16:43
409,2024-03-04 09:16:48,1.0,E13,route_E13_A6,4,2024-03-04 09:16:44
411,2024-03-04 09:16:50,1.0,E13,route_E13_A2,4,2024-03-04 09:16:46
422,2024-03-04 09:16:52,1.0,E13,route_E13_A2,4,2024-03-04 09:16:48
412,2024-03-04 09:16:54,1.0,E13,route_E13_A2,4,2024-03-04 09:16:50
335,2024-03-04 09:16:58,1.0,E5,route_E5_A3,4,2024-03-04 09:16:54
1,2024-03-04 09:16:57,1.0,E6,route_E6_A2,2,2024-03-04 09:16:55
50,2024-03-04 09:16:58,1.0,E7,route_E7_A18,2,2024-03-04 09:16:56
24,2024-03-04 09:17:07,1.0,E18,route_E18_A10,9,2024-03-04 09:16:58
367,2024-03-04 09:16:59,1.0,E22,route_E22_A2,0,2024-03-04 09:16:59
2,2024-03-04 09:17:01,1.0,E6,route_E6_A2,2,2024-03-04 09:16:59
51,2024-03-04 09:17:02,1.0,E7,route_E7_A18,2,2024-03-04 09:17:00
366,2024-03-04 09:17:02,1.0,E22,route_E22_A1,0,2024-03-04 09:17:02
84,2024-03-04 09:17:05,1.0,E4,route_E4_A7,3,2024-03-04 09:17:02
52,2024-03-04 09:17:05,1.0,E7,route_E7_A18,2,2024-03-04 09:17:03
428,2024-03-04 09:17:08,1.0,E12,route_E12_A18,3,2024-03-04 09:17:05
53,2024-03-04 09:17:11,1.0,E7,route_E7_A16,2,2024-03-04 09:17:09
3,2024-03-04 09:17:13,1.0,E6,route_E6_A2,2,2024-03-04 09:17:11
442,2024-03-04 09:17:14,1.0,E11,route_E11_A7,2,2024-03-04 09:17:12
4,2024-03-04 09:17:15,1.0,E6,route_E6_A2,2,2024-03-04 09:17:13
443,2024-03-04 09:17:17,1.0,E11,route_E11_A7,2,2024-03-04 09:17:15
464,2024-03-04 09:17:18,1.0,E9,route_E9_A2,3,2024-03-04 09:17:15
110,2024-03-04 09:17:20,1.0,E4,route_E4_A7,3,2024-03-04 09:17:17
462,2024-03-04 09:17:20,1.0,E10,route_E10_A5,1,2024-03-04 09:17:19
111,2024-03-04 09:17:25,1.0,E4,route_E4_A7,3,2024-03-04 09:17:22
62,2024-03-04 09:17:34,1.0,E24,route_E24_A2,9,2024-03-04 09:17:25
112,2024-03-04 09:17:28,1.0,E4,route_E4_A18,3,2024-03-04 09:17:25
61,2024-03-04 09:17:37,1.0,E24,route_E24_A1,9,2024-03-04 09:17:28
71,2024-03-04 09:17:39,1.0,E24,route_E24_A2,9,2024-03-04 09:17:30
336,2024-03-04 09:17:36,1.0,E5,route_E5_A3,4,2024-03-04 09:17:32
85,2024-03-04 09:17:41,1.0,E24,route_E24_A6,9,2024-03-04 09:17:32
97,2024-03-04 09:17:44,1.0,E24,route_E24_A2,9,2024-03-04 09:17:35
86,2024-03-04 09:17:47,1.0,E24,route_E24_A6,9,2024-03-04 09:17:38
108,2024-03-04 09:17:49,1.0,E24,route_E24_A2,9,2024-03-04 09:17:40
107,2024-03-04 09:17:51,1.0,E24,route_E24_A2,9,2024-03-04 09:17:42
139,2024-03-04 09:17:49,1.0,E4,route_E4_A7,3,2024-03-04 09:17:46
106,2024-03-04 09:17:55,1.0,E24,route_E24_A6,9,2024-03-04 09:17:46
105,2024-03-04 09:17:57,1.0,E24,route_E24_A2,9,2024-03-04 09:17:48
140,2024-03-04 09:17:52,1.0,E4,route_E4_A16,3,2024-03-04 09:17:49
444,2024-03-04 09:17:53,1.0,E11,route_E11_A7,2,2024-03-04 09:17:51
104,2024-03-04 09:18:01,1.0,E24,route_E24_A6,9,2024-03-04 09:17:52
141,2024-03-04 09:17:55,1.0,E4,route_E4_A7,3,2024-03-04 09:17:52
103,2024-03-04 09:18:03,1.0,E24,route_E24_A2,9,2024-03-04 09:17:54
142,2024-03-04 09:17:58,1.0,E4,route_E4_A18,3,2024-03-04 09:17:55
337,2024-03-04 09:18:00,1.0,E5,route_E5_A3,4,2024-03-04 09:17:56
102,2024-03-04 09:18:05,1.0,E24,route_E24_A2,9,2024-03-04 09:17:56
338,2024-03-04 09:18:06,1.0,E5,route_E5_A3,4,2024-03-04 09:18:02
483,2024-03-04 09:18:06,1.0,E2,route_E2_A3,0,2024-03-04 09:18:06
478,2024-03-04 09:18:09,1.0,E2,route_E2_A3,0,2024-03-04 09:18:09
365,2024-03-04 09:18:10,1.0,E22,route_E22_A1,0,2024-03-04 09:18:10
484,2024-03-04 09:18:10,1.0,E2,route_E2_A3,0,2024-03-04 09:18:10
485,2024-03-04 09:18:13,1.0,E2,route_E2_A3,0,2024-03-04 09:18:13
486,2024-03-04 09:18:15,1.0,E2,route_E2_A3,0,2024-03-04 09:18:15
487,2024-03-04 09:18:17,1.0,E2,route_E2_A3,0,2024-03-04 09:18:17
488,2024-03-04 09:18:19,1.0,E2,route_E2_A3,0,2024-03-04 09:18:19
364,2024-03-04 09:18:22,1.0,E22,route_E22_A2,0,2024-03-04 09:18:22
489,2024-03-04 09:18:22,1.0,E2,route_E2_A3,0,2024-03-04 09:18:22
